change_plants|Pflanzen ändern
change_plants_variant|Pflanzenart ändern
|
invalid_structure|Du kannst dieses Gebäude nicht zerstören, das würde zu einer ungültigen Struktur führen.
destroy|Zerstören
really_destroy|Gebäude wirklich zerstören?
destroy_this_building|Dieses Gebäude zerstören
destroy_tip|Tipp: du kannst auch Entf+Klick auf Gebäude, um sie schnell zu zerstören
|
citizen|Einwohner
|
welcome_back_teleporter_warning|Willkommen zurück zu deiner Stadt!\nBeachte bitte, dass Teleporter jetzt Betriebskosten haben. Wenn du willst kannst du Teleporter ersetzen, um Kosten zu sparen. Du kannst alle Teleporter temporär deaktivieren, falls nötig. [Tap] dazu auf ein Teleporter und [Tap] auf Alle Teleporter deaktivieren.
update_notice|Update Nachricht
|
one_day|Ein Tag
n_days|[0] Tage
one_hour|Eine Stunde
n_hours|[0] Stunden
and|und
|
one_minute|Eine Minute
n_minutes|[0] Minuten
game_load_error|Ups, irgendwas lief beim Laden des Szenarios schief. Bitte überprüfe deine Internetverbindung und versuche es erneut.
game_import_error|Diese Datei sieht nicht aus wie ein Spielstand! Bist du dir sicher, dass du die richtige Datei ausgewählt hast?
game_load_save_error|Leider ging beim Laden des Spielstandes etwas schief.
game_load_save_error_version|Entschuldigung, der Spielstand konnte nicht geladen werden! Es sieht so aus als wäre sie mit einer neueren Version des Spieles erstelt worden.
tap_to_continue|Drücke um fortzufahren
save_slot_import|Auf welchem Speicherslot soll importiert werden?
|
close|Schließen
|
mute_music|Musik stummschalten
unmute_music|Musik einschalten
mute_sfx|Soundeffekte stummschalten
unmute_sfx|Soundeffekte einschalten
full_screen|Vollbildschirm
advanced_settings|Erweiterte Einstellungen
|
follow_me_twitter|Folge @FlorianStrien auf Twitter für die neuesten Updates und News rund um meine Spiele!
mailing_list_info|Ich sende euch coole Fakten über TFE2 und exklusive Infos über zukünftige Projekte.
mailing_list_header|Abonniere meinen Newsletter!
join_discord|Trete meinem Discord Server bei!
privacy|Privatsphäre
wishlist_full|Vollversion auf die Wunschliste setzen!
upgrade_premium|Auf Premium upgraden
back_to_title|Zurück zum Hauptmenü
|
click_here_to_play|[Tap] hier um zu spielen
played_before|Schon mal gespielt?
continue|Fortfahren
new_city|Neue Stadt
new_city_explain|Starte mit jedem Szenario oder Freies Spiel
load_city|Stadt laden
which_city_to_load|Welche Stadt willst du spielen?
play_other|Spiele meine anderen Spiele!
play_more_games|Spiele mehr Spiele!
like_us|Bewerte uns!
get_premium|Werde Premium
exit|Verlassen
import|Importieren
save_screenshot|Screenshot speichern
view_credits|Siehe Abspann
|
save_slot_choice|Welchen Speicherslot willst du benutzen?
|
no_saves_warning|Warnung! Leider wurde keine funktionierende Speichermethode in deinem Browser gefunden. Du kannst weiterhin spielen, aber alle Speicherstände gehen verloren, wenn du das Spiel verlässt.\n\nDas wird normalerweise durch die Deaktivierung von Cookies oder Drittanbieter-Cookies verursacht. Dieses Spiel verwendet eine Methode, die Cookies ähnelt, um Städte zu speichern. Cookies von Drittanbietern können erforderlich sein, da das Spiel oft auf einer anderen Domain als dem Web-Gaming-Portal läuft.\n\nBitte versuche, Cookies zu aktivieren und lade anschließend die Seite neu. Andernfalls kannst du deine Städte noch immer über das Spielmenü exportieren und später wieder importieren.
|
building_prevented_strange_force|Eine merkwürdige Macht verhindert, dass du hier baust.
|
resident_workers_of|Arbeitende Bewohner von [0]
none|Keine
resident_workers|[0]/[1] arbeitende Bewohner
quality|Qualität: [0]
capacity|Kapazität: [0]
|
residents_of|Einwohner von [0]
residents|[0]/[1] Einwohner
no_residents|Keine Einwohner
there_are_no_houses|Es gibt keine Häuser!
houses_exactly_enough|Es gibt exakt so viel Wohnraum wie Einwohner.
house_n_cap_remaining|Es ist [0] Wohnraum verbleibend.
homeless_one|Es gibt einen obdachlosen Einwohner.
homeless_n|Es gibt [0] obdachlose Einwohner.
|
students|[0]/[1] Schüler
|
beacon_credits|Der Beacon wurde in Zusammenarbeit mit Lazuli designt, welche den ersten Bauwettbewerb auf Discord gewonnen hat!
cannot_afford_hippie_bride|Du kannst es dir nicht leisten die Hippies zu bestechen!
bribe_hippies_option|...oder bestich die Hippies und überspringe\ndie Aufgabe für 10.000 Nahrung
thank_you|Danke
thank_you_ex|Danke!
|
peace_out|Friede sei mit dir!
flower_buds|Öffne die Knospen:\nFülle alle 6 Jobs.
hippie_mission_0|Wurzelnetzwerk:\nBaue 2 Teleporter, welche von botanischen Gärten umrahmt sind.
hippie_mission_1|Blumig speisen:\nBaue 3 Blütenrestaurants.
hippie_mission_2|Echte Natur:\nHabe wenigstens einen beschützten Wald.
hippie_mission_3|Im Frieden vereint:\nBaue 20 Gemeinschaftshäuser.
hippie_mission_4|Ordnung der Karotte:\nBaue 30 Ökofarmen.
hippie_mission_5|Ewiger Kreis:\nBaue 9 Nebenproduktprozessoren.
hippie_mission_6|Friedliche Gesellschaft:\nErforsche Gemeinschaftliches Leben im Zentrum für Lebensforschung.
hippie_mission_7|Bringe die Stadt zum Singen: Baue das Festival HQ.
hippie_mission|Hippie Mission
|
change_building_color|Gebäudefarbe ändern
change_variant|Variante ändern
|
beans_grown|Bohnen zu [0]% gewachsen.
cacao_left|[0] Kakao verbleibend.
chocolate_production|[0] Kakaobohnen werden für [1] Tafel Schokolade benötigt.
|
ignore_unhappy_citizens|Ignoriere Warnungen von unglücklichen Einwohnern
city_name|Stadtname:
unnamed_city|Unbenannte Stadt
give_city_name|Gib deiner Stadt einen Namen!
change_city_name|Ändere den Stadtnamen
|
computer_chip_production|[0] veredeltes Metall werden für [1] Computerchips benötigt.
knowledge_gathered|[0] Wissen gesammelt.
knowledge_generated|[0] Wissen generiert.
knowledge_production_from_machine_parts|[0] Maschinenteile genutzt um [1] Wissen zu generieren.
wood_produced|[0] Holz produziert
producing_by_products_for_n_farms|Verarbeite Nebenprodukte von [0] Farmen.
producing_by_products_for_1_farm|Verarbeite Nebenprodukte von einer Farm.
refinded_metals_made|[0] Steine für [1] Einheiten veredeltes Metall verarbeitet.
knowledge_gathered_per_day|[0] Wissen pro Tag gesammelt.
knowledge_gathered_so_far|[0] Wissen bislang gesammelt.
wood_used_for_machine_parts|[0] Holz genutzt um [1] Maschinenteile zu bauen.
|
left_plot|Links
top_right_plot|Oben-Rechts
bottom_right_plot|Unten-Rechts
|
current_task_looking|Aktuelle Aufgabe: Ruinen finden
current_task_exploring|Aktuelle Aufgabe: Ruinen erforschen
current_task_investigating|Aktuelle Aufgabe: Funde untersuchen
|
crops_grow_pct|Nahrung zu [0]% gewachsen.
food_left_to_harvest|[0] Nahrung verbleibend.
old_crops_cleaned|Überreste zu [0]% bereinigt.
resources_produced|[0] Ressourcen produziert.
|
current_festival|Aktuelles Festival
planned_festival|Geplantes Festival
preparing|Vorbereitung...
assign_workers_to_prepare|Teile Arbeiter für die Vorbereitung des Festivals ein!
assign_more_to_speed_up|Teile die Leute ein um den Prozess zu beschleunigen.
organize_a_festival|Organisiere ein Festival.
cant_organize|Du kannst gerade kein Musikfestival organisieren!
music_festival|Musikfestival
music_festival_help|Eine große, spektakuläre Feier, die einen Tag dauert. Erhöht die Zufriedenheit der Einwohner für eine Woche und kann die Gesamtzufriedenheit auf über 100 bringen.
|
teleported_from|Von hier [0]-mal teleportiert.
teleported_to|Hier hin [0]-mal teleportiert.
|
mirror|Spiegeln
change_interior|Einrichtung ändern
|
graphene_sheets_production|[0] Wissen und [1] Stein werden für [2] Graphenplatten benötigt.
graphene_sheets_made|[0] Stein werden für [1] Graphenplatten benötigt.
|
hackers_done|Wir hacken weiter!
hackers_gather|Lan-Party:\nFülle alle 6 Jobs.
hacker_mission_0|Sammele Wissen:\nBaue 20 Labore.
hacker_mission_1|Lehre Suchende:\nBaue 3 Bibliotheken.
hacker_mission_2|Beherberge die Schlauen:\nBaue 5 Tüftlerhäuser.
hacker_mission_3|Hacke die Fabrik:\nUpgrade das Betriebssystem in einer veredelten Metallfabrik.
hacker_mission_4|Wissenschaftlicher Durchbruch:\nBaue eine Fabrikenkneipe.
hacker_mission_5|Tutorial 2.0:\nProduziere 20 Computerchips pro Tag
hacker_mission_6|Tanz den Roboter:\nBaue 7 Schrottplatznachtclubs.
hacker_mission_7|Lasst uns noch mehr Spaß haben!\nBaue einen Escape Room.
hacker_mission_8|Gießkannen sind überbewertet:\nErforsche das automatische Bewässerungssystem in einer Baumplantage!
hacker_mission_9|Bereit für Level 2:\nBaue 2 Holospielhallen!
hacker_mission_10|Baue die ultimative Maschine:\nDer Fehlleiter
hackers_mission|Hackermission
|
herb_reduction|Kräuter reduzieren den Nahrungskonsum deiner Bevölkerung um [0]/[1]%
herb_medical_happiness|Gesamtes medizinisches Glück aus Kräutergärten: [0]/20%
change_herb_plants|Kräuter ändern
|
elevator_entered|Hier in den Fahrstuhl [0]-mal eingestiegen.
elevator_left|Hier den Fahrstuhl [0]-mal verlassen.
|
crops_grown|Nahrung zu [0]% gewachsen.
food_left|[0] Nahrung verbleibend.
percent_cleaned|Überreste zu [0]% bereinigt.
|
used_as_house|Als Haus verwendet.
|
transported_from|Von hier [0]-mal weggeflogen.
transported_to|Nach hier [0]-mal geflogen.
used_as_stopover|Als Umstieg [0]-mal genutzt.
change_space_ship|Raumschiff ändern
|
upgrade_basic_houses|Upgrade das einfache Haus
|
manage_birth_control|Verhütungskontrolle
|
misdirected|[0]-mal fehlgeleitet.
|
change_exhibition|Ausstellung ändern
change_light_show|Lichtshow ändern
colorful|Bunt, Farbig
fast_red|Schnelles Rot
slow_blue|Langsames Blau
rainbow_light|Regenbogen Licht
romantic_pink|Romantisches Rosa
change_door_color|Türfarbe ändern
|
change_machines|Maschinen ändern
|
forever_grateful|Wir werden für immer dankbar sein.
jobs_filled_secretsociety|Tritt der Gemeinschaft bei:\nFülle alle 8 Jobs.
secret_society_mission_0|Heimwerkeln:\nErforsche Geheimes Leben im Zentrum für Lebensforschung.
secret_society_mission_1|Holz vor der Hütte:\nProduziere 1000 Holz an einem Tag.
secret_society_mission_2|Mach die Stadt grün:\nBaue 50 botanische Gärten.
secret_society_mission_3|In Stein gemeißelt:\nBaue 12 Steingärten.
secret_society_mission_4|Verbessertes Reisen:\nBaue 7 Teleporter.
secret_society_mission_5|Keine Snobs:\nBaue 5 Villen.
secret_society_mission_6|Stein der Weisen:\nProduziere 1000 Wissen pro Tag.
secret_society_mission_7|Beende das Projekt:\nBaue die Maschine.
secret_society_mission|Mission der geheimen Gesellschaft
|
change_sculptures|Skulptur ändern
dev_message|Eine Nachricht vom Entwickler
climate_crisis_message_1|Sorgen wir dafür, dass Elefanten nicht nur pixelige Statuen auf winzigen Welten im Jahr 2142 sind. Die Klimakrise ist die wichtigste Bedrohung für die Tierwelt - und die Menschen.
see_what_you_can_do|Schau, was du machen kannst.
|
change_statue|Statue ändern 
|
stone_mining_boost|Momentaner Steinabbau-Boost: [0]%
stone_mining_boost_base|Dies basiert auf der Anzahl der Arbeiter und der gestrigen Wissensproduktion.
fossils_found|Gefundene Fossile: [0]
|
stone_left|[0] Steine sind in diesem Meteoriten übrig.
waiting_for_worker_teleport|Auf den Arbeiter wartend, der den Knopf drückt...
teleporting_meteroid|Teleportiert einen Meteoriten...
something_went_wrong_stone|Irgendwas lief falsch beim Updaten der Stein Textur.
|
teleporters_operating_cost|Betriebskosten Teleporter:\n[0] Wissen/Tag
cant_enable_teleporters|Du kannst die Teleporter nicht aktivieren, da du nicht genügend Wissen für die Betriebskosten hast!
disable_all_teleporters|Deaktiviere alle Teleporter
keep_teleporters_disabled|Lass alle Teleporter deaktiviert
enable_all_teleporters|Aktiviere alle Teleporter
|
today_production|Heutige Produktion:
total_production|Gesamtproduktion:
next_production_in_n|Produktion in den nächsten [0] Stunden.
next_production_in_1|Produktion in der nächsten Stunde.
|
train_boarded_here|Einwohner sind hier [0]-mal eingestiegen.
train_alighted_here|Einwohner sind hier [0]-mal ausgestiegen.
change_top_half_furniture|Obere Möblierung ändern
change_bottom_half_furniture|Untere Möbilierung ändern
change_trains|Züge ändern
|
trees_grown|Bäume zu [0]% gewachsen
wood_left|[0]/[1] Holz übrig
|
workers_of|Arbeiter von [0]
no_workers|Keine Arbeiter
workers|[0]/[1] Arbeiter
|
tap_near_citizen_to_follow|[Tap] in die Nähe von einem Einwohner, um ihm zu folgen.
|
tap|Tippe
click|Klicken
|
city|Stadt
file_description|[0] - [1] Einwohner
|
boost_activated|Boost Aktiviert!
boost_activated_description|Die gesamte Produktion ist jetzt für eine Weile verdoppelt. Zusätzlich bekommst du die folgenden Boni als Belohnung:
|
birth_control|Geburtenkontrolle
greatly_discourage_children|Elternschaft verurteilen
pop_stabilize|Die Bevölkerung wird ungefähr so bleiben
encourage_contraception|Verhütung fokussieren
slow_pop_growth|Die Bevölkerung wird nur langsam wachsen
no_special_policy|Keine speziellen Politiken
babies_born_normal|Babys werden in der normalen Rate geboren.
encourage_parenthood|Elternschaft unterstützen
more_babies_born|Mehr Babys werden geboren. So lange die Zufriedenheit es widerspiegelt.
|
you_have_enough_wood|Du hast genug Holz. Baue nun eine Steinmine!
build|Bauen
back|Zurück
management|Management
|
already_built|Bereits gebaut
unique|Einzigartig
also_unlocks_new|Entsperrt auch neue Gebäude
building_a_building|[0] bauen
placing_a_decoration|[0] platzieren 
planting_a_forest|[0] pflanzen 
|
build_anywhere|Baue überall in einem Turm
build_mode_insert|Baumodus: Einfügen
build_mode_normal_explanation|Baue nur auf dem Boden und den Dächern von Gebäuden bzw. unter Dachgebäuden. [Tap] auf ein Gebäude für mehr Informationen und Optionen.
build_mode_normal|Baumodus: Normal
build_mode_replace_explanation|Ersetze einfach existierende Gebäude.
build_mode_replace|Baumodus: Ersetzen
build_mode_multi_explanation|Halte gedrückt um mehrere Gebäude zu bauen.
build_mode_multi|Baumodus: Multi
build_mode_destroy_explanation|Zerstöre schnell Gebäude
build_mode_destroy|Abrissmodus
|
build_anywhere_pc|Mit diesem Modus kannst du überall in einem Turm bauen.
build_mode_insert_explanation_pc|Wähle ein zu bauendes Gebäude aus und klicke auf das Ziel um es einzufügen.
build_mode_insert_explanation_pc_b|Klicke auf ein Gebäude um dort eins einzufügen.
build_mode_multi_explanation_pc|Mit diesem Baumodus kannst du schnell mehrere Gebäude eines Typs bauen.
build_mode_replace_explanation_pc|Mit diesem Baumodus kannst du schnell ein Gebäude einfügen.
build_mode_normal_explanation_pc|Mit diesem Baumodus kannst du nur auf Böden und Dächern bauen. Klicke auf ein Gebäude für mehr Informationen.
exception|Ausnahme:
click_rooftop_selected|Wenn du ein Gebäude ausgewählt hast, wird es durch einen Klick auf ein Dach dort gebaut.
click_rooftop|Durch einen Klick auf ein Dach wird dort ein Gebäude gebaut.
|
all_building_modes|Alle Baumodi
follow_citizen|Folge Einwohner
upgrades_and_policies|Upgrades und Politiken
highlight_buildings|Hebe Gebäude vor
ctrl_to_highlight|Tipp: Du kannst auch Strg gedrückt halten, um alle Gebäude dieses Types hervorzuheben.
commute_explorer_gate|Der Pfadfindungsexplorer zeigt dir Reisezeiten und Routen deiner Einwohner an. Bekomme dieses und noch mehr Feature mit der Premiumversion! Alternativ kannst du auch eine kurze Werbung schauen um es für 30min freizuschalten.
commute_explorer|Pfadfindungsexplorer
|
change_city_name|Ändere Stadtnamen
give_city_name|Gib deiner Stadt einen Namen!
city_name|Stadtname
|
main_goal|Hauptziel
|
|
click_or_space|Klick (oder drücke Leertaste)
to_pause|um zu pausieren.
to_unpause|um fortzufahren.
game_paused|Spiel pausiert
game_running|Spiel geht weiter
normal_speed|Normale Geschwindigkeit
onepointfive_speed|1,5-fache Geschwindigkeit
double_speed|2-fache Geschwindigkeit
half_speed|0,5-fache Geschwindigkeit
threequarter_speed|0,75-fache Geschwindigkeit
change_game_speed_mobile|Tab, um die Spielgeschwindigkeit zu ändern.
change_game_speed_pc|Klicke (oder drücke S) um die Spielgeschwindigkeit zu ändern. Strg+Klick um eine fortgeschritte Geschwindigkeit zu wählen.
keep_paused_help|Umschalttaste um das Spiel pausiert zu halten.
game_menu|Spielmenü
show_extra_info|Zeige zusätzliche Stadtinfos & Optionen
hide_extra_info|Verstecke zusätzliche Stadtinfos und Optionen
alien_ruins_find|In den Alienruinen wurde etwas gefunden!
population|Population
total_amount_of_citizens|Die Gesamtmenge von Einwohnern in der Stadt.
is_one_child|Es gibt ein Kind.
are_n_children|Es gibt [0] Kinder
tap_for_age_distribution|[Tap] für Demographie
tap_for_age_distribution_or_pop_limit|[Tap] für Demographie oder um das Bevölkerungslimit zu erhöhen
follow_hint|Tipp: Drücke Strg+klicke auf einem Einwohner um ihn zu folgen
food_shortage_unhappiness|Kein Essen-Malus:
food_rationing_unhappiness|Rationiertes Essen-Malus:
mandatory_overtime_unhappiness|Verpflichtende Überzeit-Malus:
new_city_enthousiasm|Neue Stadt-Bonus:
happiness_explainer|Glückliche Einwohner arbeiten schneller. Sie bekommen außerdem mehr Kinder.
home_happiness|Hausglück:
sense_of_purpose|Vollbeschäftigung (Job/Schule):
entertainment_happiness|Unterhaltungsfaktor:
education_happiness|Bildungsfaktor:
medical_happiness|Medizinische Versorgung:
citizens_work_at_speed|Mit der aktuellen Zufriedenheit arbeiten Einwohner [0]-fach ihrer normalen Geschwindigkeit.
happiness|Zufriedenheit
total_happiness|Totale Zufriedenheit:
work_speed_modifier|Arbeitsgeschwindigkeitfaktor:
housing|Häuser
work|Arbeit
work_tooltip|Menschen mit einem Beruf/ Absolute Arbeitskraft.\nEs gibt [0] Jobs.\n[Tap] um Einwohner einzuteilen.
|
food|Nahrung
wood|Holz
stone|Stein
knowledge|Wissen
machine_parts|Maschinenteile
refined_metals|Veredelte Metalle
computer_chips|Computerchips
graphene|Graphen
|
operating_cost|Der Betrieb von Gebäuden kostete bisher [0] [1] gestern und [2] heute.
factory_operating_cost|Deine Fabriken nutzten [0] [1] gestern und [2] heute.
citizen_production_cost|Deine Einwohner produzierten [0] [1] gestern und [2] heute.
not_enough_food|Du hast nicht genügend Nahrung! Die nächsten [0] produzierten Nahrungseinheiten werden sofort von hungrigen Einwohnern gegessen.
|
wood_use|Benötigt zum Bauen.
stone_use|Benötigt zum Bauen und für veredeltes Metall.
knowledge_use|Benötigt zum Forschen.
machine_parts_use|Benötigt zum Bauen von Maschinen und der Weiterentwicklung von Gebäuden.
refined_metals_use|Benötigt zur Weiterentwicklung von Gebäuden und für Computerchips.
computer_chips_use|Benötigt zur Entwicklung intelligenter Maschinen.
graphene_use|Super dünn, aber extrem belastbar.
|
see_wood_here|Übersicht über dein Holz.
great_gather_stone|Super! Nun brauchen wir 6 Holz und 4 Steine.
you_have_enough_stone|Du hast erstmal genug Steine! Teile deine Einwohner wieder zum Holzhacken ein.
reduce_stone_mining_priority|Reduziere die Priorität des Steinabbaus.
increase_woodcutting_priority|Erhöhe die Priorität vom Holz hacken!
hint_hint|Tipp: Solltest du jemals vergessen, was zu tun ist, klicke einfach auf das ? hier.
hint_hint_pc|Tipp: Solltest du jemals vergessen, was zu tun ist, fahre einfach über das ? hier.
speedup_hint|Tipp: Ist dir das Spiel mal zu langsam, kannst du es mit dem Knopf hier beschleunigen.
|
climate_crisis_explainer_1|Beende die Klimakrise!
climate_crisis_explainer_2|Wie du vermutlich weißt, ändert sich unser Klima aufgrund des Treibhauseffekts durch uns Menschen. Wir haben nur noch 10 Jahre um unseren CO2-Ausstoß drastisch zu reduzieren, wenn wir das Schlimmste abwenden wollen wie Überflutungen, Dürren und große gesundheitliche Risiken. Hier sind einige Dinge, die du tun kannst:
climate_crisis_explainer_3|Geh wählen!
climate_crisis_explainer_4|Es ist wichtig, dass Regierungen Gesetze erlassen, welche es Firmen und Menschen vereinfacht ihren ökologischen Fußabdruck zu reduzieren. Wählt eine entsprechende Partei, wann immer es möglich ist.
climate_crisis_explainer_5|Esst weniger Fleisch!
climate_crisis_explainer_6|Es gibt wunderbare Fleischalternativen, welche gut schmecken und weniger CO2 verursachen. Bohnen und Nüsse sind beispielsweise eine wunderbare Proteinquelle.
climate_crisis_explainer_7|Fliege nicht!
climate_crisis_explainer_8|Fliegen verursacht eine enorme Menge an CO2. Bleibe deswegen auf dem Boden so oft du kannst. Wenn du auf's Reisen nicht verzichten möchtest, ist Bahn fahren ein wunderbare und spaßige Alternative.
climate_crisis_explainer_9|Informier dich!
climate_crisis_explainer_10|Wissen ist Macht! Verfolge Klimanachrichten und ließ mehrere Quellen für die bestmögliche Abdeckung.
thanks_signoff|Danke,
read_more_link|Lies mehr! (externer Link)
|
per_building|Pro Gebäude
for_one_building|Für ein Gebäude
for_this_building|Für dieses Gebäude
for_all_buildings|Für alle Gebäude
for_n_buildings|Für [0] Gebäude
remove|Entferne
change_appearance_upgrade|Verändere das Aussehen des Upgrades
upgrades|Upgrade
upgrade_only_this|Upgrade nur dieses Gebäude
upgrade_afford|Upgrade so viele Gebäude dieser Art wie du es dir leisten kannst. Es gibt [0] Gebäude.
upgrade_all_explain|Upgrade alle Gebäude dieser Art. Es gibt [0].
building_modes|Baumodi
building_mode_only_this|Stelle den Gebäudemodus nur für dieses Gebäude ein.
building_mode_afford|Stelle den Gebäudemodus von so vielen Gebäuden dieses Typs ein, wie du es dir leisten kannst. Es gibt [0].
building_mode_all_explain|Stelle den Gebäudemodus für alle Gebäude dieses Typs ein. Es gibt [0].
city_upgrades|Stadtupgrades
city_policies|Stadtpolitiken
credits|Credits
game_by|Ein Spiel von Florian van Strien.
music_by|Musik & SFX von Stijn Cappetijn.
credits_software|Software
credits_software_1|Gebaut mit Haxe.
credits_software_2|Gerendert mit pixi.js.
early_feedback|Früher Test: Douwe
thanks_for_playing|Vielen Dank für's Spielen!
localized_by|Übersetzt von Jakob Fiedler, Pyro und Inferno.
|
current_tasks|Aktuelle Aufgaben
current_task|Aktuelle Aufgabe
|
following|Folge [0]
this_citizen|Dieser Einwohner
|
education_level_0|Ungebildet
education_level_1|Schlecht
education_level_2|Schwach
education_level_3|Begrenzt
education_level_4|Moderat
education_level_5|Okay
education_level_6|Gut
education_level_7|Sehr gut
education_level_8|Herausragend
education_level_9|Überragend
education_level_10|Exzellent
education_level_11|Besonders
education_level_12|Wahnsinnig
education_level_13|Unglaublich
education_level_14|Weltklasse
education_level_15|Phänomenal
age_and_education|Alter: [0]\nBildung: [1]
change_home_job|Ändere Haus/Job
change_home_school|Ändere Haus/Schule
citizen_passed_away|Unglücklicherweise verstorben: [0]. :(
for_citizen|Für [0]
following_fish|Folge dem Fisch
cant_find_fish|Der Fisch ist verschwunden.
customize_free_play|Pass das freie Spiel an
starting_resources|Startressourcen
normal_resources|Normale Ressourcen
extra_resources|Zusätzliche Ressourcen
unlimited_resources|Unbegrenzte Ressourcen
starting_citizens|Startende Einwohner
buildings_research|Gebäude & Forschung
standard_unlocks|Normale Freischaltung
most_unlocks|Erweiterte Freischaltung
|
last_saved|Zuletzt vor [0] Sekunden gespeichert.
temp_save|Warnung: Temporärer Speicher!
use_save_slot|In welchem Spielstand würdest du gerne speichern?
use_save_slot_2|Welchen Spielstand würdest du gerne benutzen?
save_command|Speichern...
load_command|Laden...
which_city_load|Welche Stadt würdest du gerne laden?
export|Exportieren...
import_command|Importieren...
new_city|Neue Stadt
next_scenario|Nächstes Szenario
restart_scenario|Szenario neu starten
restart_scenario_question|Szenario wiederholen?
sure_restart|Bist du dir sicher, dass du das Szenario neu starten möchtest?
restart|Neustart
undo_restart|Neustart abbrechen
|
no_upgrades|Keine Upgrades verfügbar.
auto_upgrade|Automatische Upgrades
upgrade_all_labs|Upgrade alle Labore mit den entsprechenden Upgrades für die angrenzenden Gebäude.
|
housing_information|Hausinformationen
|
start_scenario|Szenario starten
free_play|Freies Spiel
unlock_all|Alles freischalten
welcome_back|Willkommen zurück!
import_city|Stadt importieren
got_export|Hast du einen externen Spielstand?
|
best_time|Beste Zeit: [0]d [1]h [2]min
|
to_research|zum erforschen
|
music_volume|Musik
sound_effect_volume|Soundeffekte
hide_boost_button|Verstecke den Boost-Knopf
color_blind_mode|Farbenblinder Modus für\nden Routenexplorer
enable_unlimited_resources|Aktiviere unendliche Ressourcen
disable_unlimited_resources|Deaktiviere unendliche Ressourcen
play_unlimited|Möchtest du in diesen Spielstand mit unendlichen Ressourcen spielen?
stop_play_unlimited|Möchtest du in diesem Spielstand mit normalen Ressourcen spielen? Du kannst immer unendliche Ressourcen später wieder aktivieren.
yes|Ja
unlimited|Unbegrenzt
visit_store|Besuche den Shop
pathfinding_thread_limit|Pfadfindungs-Thread Limit:
pathfinding_thread_limit_explain|Pfadfindungs-Threads werden verwendet, um Bewegungspfade für die Einwohner zu berechnen. Wenn alle Pfadfindungs-Threads beschäftigt sind, bleiben die Einwohner stehen und warten, bis einer verfügbar ist. Mit Erhöhung des Wertes, verbessert sich die Simulation in großen Städten. Der empfohlene Wert ist die Anzahl der physischen Kerne des Prozessors minus 1. Höhere Werte können sich negativ auf die Bildrate auswirken.\nWenn du so viele Probleme beim Verstehen wie ich beim Übersetzen hattest, dann belasse es bei den Standardwerten.
reset_pathfinding_limit|Klicke um die Pfadfindung zurückzusetzen.
have_or_want_code|Willst oder hast du einen Geheimcode?
have_code|Hast du einen Geheimcode?
input_code|Füge den Geheimcode ein
